date,used,new
2022-11-01,545.6666666666666,790.0
2022-12-01,534.8292857142858,902.1428571428571
2023-01-01,512.9677777777778,938.4444444444445
2023-02-01,494.9196428571427,925.75
2023-03-01,465.26533333333333,880.7333333333333
2023-04-01,437.407037037037,895.8965517241379
2023-05-01,410.2646153846153,874.6857142857143
2023-06-01,396.7878787878788,868.0666666666667
2023-07-01,389.2068965517241,883.7931034482758
2023-08-01,378.3478260869565,821.7777777777778
2023-09-01,385.8333333333333,616.0
2023-10-01,381.75,668.1664285714285
2023-11-01,366.609756097561,702.2619047619048
2023-12-01,371.2647058823529,679.0
2024-01-01,422.6756756756757,679.0
2024-02-01,403.86206896551727,662.448275862069
2024-03-01,403.22857142857146,575.0
2024-04-01,386.48387096774195,508.19354838709677
2024-05-01,354.51612903225805,524.6129032258065
2024-06-01,362.96774193548384,717.483870967742
2024-07-01,356.7096774193548,1002.6774193548387
2024-08-01,356.8,864.3
2024-09-01,355.1818181818182,707.5454545454545
2024-10-01,334.5151515151515,766.53125
2024-11-01,366.7368421052632,762.2857142857143
2024-12-01,341.2857142857143,820.9285714285714
2025-01-01,377.95454545454544,1074.0454545454545
2025-02-01,268.4,1117.0
2025-03-01,350.62675675675655,1131.3513513513512
2025-04-01,389.57406249999997,1129.0
2025-05-01,391.8014285714286,1129.0
