Site,Marca,Nome,Preço,Data
terabyte,Palit,RTX 5070 ti,7299.90,2025/04/14
terabyte,Palit,RTX 5070 ti,7499.90,2025/04/14
pichau,MSI,RTX 4070 super,5899.99,2025/04/14
pichau,XFX,RX 9070 xt,7299.99,2025/04/14
pichau,MSI,RTX 3060,2149.99,2025/04/14
pichau,XFX,RX 9070 xt,7099.99,2025/04/14
pichau,XFX,RX 9070 xt,7499.99,2025/04/14
pichau,XFX,RX 9070 xt,7199.99,2025/04/14
pichau,MSI,RTX 5070,6199.99,2025/04/14
pichau,MSI,RTX 5070 ti,9199.99,2025/04/14
pichau,XFX,RX 7700 xt,3659.99,2025/04/14
pichau,ASRock,RX 6600,1659.99,2025/04/14
pichau,Gigabyte,RTX 5070 ti,7099.99,2025/04/14
pichau,ASUS,RX 7600,1889.99,2025/04/14
pichau,Gigabyte,RX 9070,6899.99,2025/04/14
pichau,MSI,RTX 5070,6299.99,2025/04/14
pichau,ASRock,RX 9070,6499.99,2025/04/14
pichau,MSI,RTX 5080,11999.99,2025/04/14
pichau,ASRock,RX 9070,6599.99,2025/04/14
pichau,Gigabyte,RTX 5090,27999.99,2025/04/14
pichau,MSI,RTX 5070,6899.99,2025/04/14
pichau,Gigabyte,RTX 5090,22500.00,2025/04/14
pichau,ASRock,RX 6600,1599.99,2025/04/14
pichau,Gigabyte,RTX 5090,24199.99,2025/04/14
pichau,ASRock,RX 7600,1899.99,2025/04/14
pichau,Gigabyte,RX 7600,1899.99,2025/04/14
pichau,MSI,RTX 5090,23999.99,2025/04/14
pichau,MSI,RTX 5090,24299.99,2025/04/14
pichau,XFX,RX 7800 xt,4959.99,2025/04/14
pichau,XFX,RX 7800 xt,4999.99,2025/04/14
pichau,XFX,RX 7900 xt,8399.99,2025/04/14
pichau,ASUS,RTX 4060,2599.99,2025/04/14
pichau,Gigabyte,RTX 5080,13399.99,2025/04/14
pichau,Gigabyte,RTX 5080,12899.99,2025/04/14
pichau,Gigabyte,RTX 5080,11400.00,2025/04/14
pichau,Gigabyte,RX 7600 xt,2999.99,2025/04/14
pichau,PowerColor,RX 7600,1869.99,2025/04/14
pichau,XFX,RX 6650 xt,1749.99,2025/04/14
pichau,XFX,RX 6600,1589.99,2025/04/14
pichau,Inno3D,RTX 4060,2459.99,2025/04/14
pichau,MSI,RTX 4060,2459.99,2025/04/14
pichau,Palit,RTX 4060,2299.99,2025/04/14
pichau,XFX,RX 7900 xt,5699.99,2025/04/14
pichau,Gigabyte,RTX 4070 super,6199.99,2025/04/14
pichau,XFX,RX 7900 xt,7999.99,2025/04/14
pichau,Gigabyte,RX 7700 xt,3799.99,2025/04/14
pichau,Galax,RTX 3050,1349.99,2025/04/14
pichau,Inno3D,RTX 3050,1289.99,2025/04/14
pichau,ASUS,RTX 3050,1299.99,2025/04/14
pichau,Inno3D,RTX 4060 ti,4099.99,2025/04/14
pichau,ASUS,RTX 4060,2699.99,2025/04/14
pichau,Gigabyte,RTX 5070,6199.99,2025/04/14
pichau,Gigabyte,RTX 5070 ti,9499.99,2025/04/14
pichau,Gigabyte,RTX 5070 ti,9099.99,2025/04/14
pichau,MSI,RTX 5070 ti,7999.99,2025/04/14
pichau,MSI,RTX 5070 ti,8899.99,2025/04/14
pichau,MSI,RTX 5070 ti,9099.99,2025/04/14
pichau,Gigabyte,RTX 5070 ti,9999.99,2025/04/14
pichau,Gigabyte,RTX 5070 ti,8269.99,2025/04/14
pichau,Gigabyte,RTX 5070 ti,9000.00,2025/04/14
pichau,Gigabyte,RTX 5070 ti,7799.99,2025/04/14
pichau,Palit,RTX 5070,5199.99,2025/04/14
pichau,ASUS,RTX 4060 ti,4299.99,2025/04/14
pichau,Inno3D,RTX 4060,2379.99,2025/04/14
pichau,XFX,RX 7600 xt,2989.99,2025/04/14
