RTX 3070,2022-11-01,569.0
RTX 3070,2022-12-01,580.1428571428571
RTX 3070,2023-01-01,600.3333333333334
RTX 3070,2023-02-01,587.25
RTX 3070,2023-03-01,556.9
RTX 3070,2023-04-01,556.5862068965517
RTX 3070,2023-05-01,491.38235294117646
RTX 3070,2023-06-01,446.2
RTX 3070,2023-07-01,453.58620689655174
RTX 3070,2023-08-01,452.05263157894734
RTX 3070,2023-09-01,455.42857142857144
RTX 3070,2023-10-01,504.19325
RTX 3070,2023-11-01,433.76190476190476
RTX 3070,2023-12-01,445.9117647058824
RTX 3070,2024-01-01,456.56756756756755
RTX 3070,2024-02-01,484.17241379310343
RTX 3070,2024-03-01,449.0
RTX 3070,2024-04-01,429.64516129032256
RTX 3070,2024-05-01,445.1290322580645
RTX 3070,2024-06-01,435.19354838709677
RTX 3070,2024-07-01,425.7741935483871
RTX 3070,2024-08-01,423.6666666666667
RTX 3070,2024-09-01,433.8484848484849
RTX 3070,2024-10-01,504.1515151515151
RTX 3070,2024-11-01,541.3157894736842
RTX 3070,2024-12-01,601.7142857142857
RTX 3070,2025-01-01,591.9545454545455
RTX 3070,2025-02-01,663.12
RTX 3070,2025-03-01,737.0
RTX 3070,2025-04-01,737.0
RTX 3070,2025-05-01,527.0
